Experiment Number,file,limit,compressionType,stream,Experiment startTime,logType,operation,statusOfOperation,timestamp
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477063.9798546
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477072.0926576
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477072.0927556
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477081.3189027
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477081.3189893
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477093.3293376
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477093.3294215
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477106.253786
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477106.253864
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477116.1636777
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477116.1637714
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477126.4906836
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477126.4907863
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477136.4977703
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477136.4978642
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477143.8832324
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477143.8833127
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477151.433872
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477151.433973
1,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477162.5027397
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477162.5028377
2,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477171.7932613
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,started,1707477171.793374
3,Sample,SQL,File,50000rows.sql,104857,info,Experiment,completed,1707477181.3893754
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477181.3894758
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477187.9135592
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477187.913635
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477195.8033757
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477195.8035295
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477202.7947571
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477202.7948534
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477213.0296488
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477213.0297344
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477222.827884
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477222.8280435
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477231.5163543
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477231.5165014
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477239.5708504
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477239.57098
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477249.202418
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477249.2024982
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477258.7673492
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477258.7675066
1,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477270.2521122
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477270.252232
2,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477279.9281018
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,started,1707477279.9282413
3,Sample,SQL,File,100000rows.sql,104857,info,Experiment,completed,1707477289.202802
